,Unnamed: 0,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
42,42,Gary Alcorn,1960,1961,C,6-9,225.0,"October 8, 1936",Fresno State
43,43,Santi Aldama,2022,2023,F,6-11,224.0,"January 10, 2001",Loyola (MD)
44,44,Furkan Aldemir,2015,2015,F-C,6-10,240.0,"August 9, 1991",
45,45,Cole Aldrich,2011,2018,C,6-11,250.0,"October 31, 1988",Kansas
46,46,LaMarcus Aldridge,2007,2022,F-C,6-11,250.0,"July 19, 1985",Texas
47,47,Chuck Aleksinas,1985,1985,C,6-11,260.0,"February 26, 1959","Kentucky, UConn"
48,48,Cliff Alexander,2016,2016,F,6-8,245.0,"November 16, 1995",Kansas
49,49,Cory Alexander,1996,2005,G,6-1,185.0,"June 22, 1973",Virginia
50,50,Courtney Alexander,2001,2003,G,6-5,205.0,"April 27, 1977","Virginia, Fresno State"
51,51,Gary Alexander,1994,1994,F,6-7,240.0,"November 1, 1969",South Florida
52,52,Joe Alexander,2009,2010,F,6-8,230.0,"December 26, 1986",West Virginia
53,53,Kyle Alexander,2020,2020,F,6-11,220.0,"October 21, 1996",Tennessee
54,54,Ty-Shon Alexander,2021,2021,G,6-3,195.0,"July 16, 1998",Creighton
55,55,Victor Alexander,1992,2002,C-F,6-9,265.0,"August 31, 1969",Iowa State
56,56,Nickeil Alexander-Walker,2020,2023,G,6-6,205.0,"September 2, 1998",Virginia Tech
57,57,Steve Alford,1988,1991,G,6-2,183.0,"November 23, 1964",Indiana
58,58,Rawle Alkins,2019,2019,G,6-5,225.0,"October 29, 1997",Arizona
59,59,Bill Allen,1968,1968,C-F,6-8,205.0,,New Mexico State
60,60,Bob Allen,1969,1969,F,6-9,205.0,"July 17, 1946",Marshall
61,61,Grayson Allen,2019,2023,G,6-4,198.0,"October 8, 1995",Duke
62,62,Jarrett Allen,2018,2023,C-F,6-11,243.0,"April 21, 1998",Texas
63,63,Jerome Allen,1996,1997,G,6-4,184.0,"January 28, 1973",Penn
64,64,Kadeem Allen,2018,2020,G,6-1,200.0,"January 15, 1993",Arizona
65,65,Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple
66,66,Lucius Allen,1970,1979,G,6-2,175.0,"September 26, 1947",UCLA
67,67,Malik Allen,2002,2011,F-C,6-10,255.0,"June 27, 1978",Villanova
68,68,Randy Allen,1989,1990,F,6-8,220.0,"January 26, 1965",Florida State
69,69,Ray Allen*,1997,2014,G,6-5,205.0,"July 20, 1975",UConn
70,70,Tony Allen,2005,2018,G-F,6-4,213.0,"January 11, 1982","Butler County Community College, Oklahoma State"
71,71,Willie Allen,1972,1972,F,6-6,230.0,"February 8, 1949",Miami (FL)
72,72,Odis Allison,1972,1972,F,6-6,195.0,"October 2, 1949",UNLV
73,73,Lance Allred,2008,2008,C,6-11,250.0,"February 2, 1981","Utah, Weber State"
74,74,Darrell Allums,1981,1981,F,6-9,220.0,"September 12, 1958",UCLA
75,75,Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University
76,76,Derrick Alston,1995,1997,F,6-11,225.0,"August 20, 1972",Duquesne
77,77,Rafer Alston,2000,2010,G,6-2,171.0,"July 24, 1976",Fresno State
78,78,Peter Aluma,1999,1999,C,6-10,260.0,"April 23, 1973",Liberty
79,79,Jose Alvarado,2022,2023,G,6-0,179.0,"April 12, 1998",Georgia Tech
80,80,John Amaechi,1996,2003,C-F,6-10,270.0,"November 26, 1970","Vanderbilt, Penn State"
81,81,Ashraf Amaya,1996,1997,F,6-8,230.0,"November 23, 1971",Southern Illinois
82,82,Al-Farouq Aminu,2011,2021,F,6-8,220.0,"September 21, 1990",Wake Forest
83,83,Lou Amundson,2007,2016,F-C,6-9,220.0,"December 7, 1982",UNLV
84,84,Bob Anderegg,1960,1960,F-G,6-3,200.0,"August 24, 1937",Michigan State
85,85,Chris Andersen,2002,2017,C-F,6-10,245.0,"July 7, 1978",Blinn College
86,86,David Andersen,2010,2011,C,6-11,245.0,"June 23, 1980",
87,87,Alan Anderson,2006,2017,G-F,6-6,220.0,"October 16, 1982",Michigan State
88,88,Andy Anderson,1968,1970,G,6-2,184.0,"July 6, 1945",Canisius
89,89,Antonio Anderson,2010,2010,G,6-6,215.0,"June 5, 1985",Memphis
90,90,Cliff Anderson,1968,1971,G-F,6-2,200.0,"September 7, 1944",Saint Joseph's
91,91,Dan Anderson,1968,1969,C,6-10,230.0,"February 15, 1943",Augsburg College
92,92,Dan Anderson,1975,1976,G,6-2,185.0,"January 1, 1951",USC
93,93,Derek Anderson,1998,2008,G,6-5,194.0,"July 18, 1974","Ohio State, Kentucky"
94,94,Dwight Anderson,1983,1983,G,6-3,185.0,"December 28, 1960","Kentucky, USC"
95,95,Eric Anderson,1993,1994,F,6-9,220.0,"May 26, 1970",Indiana
96,96,Greg Anderson,1988,1998,F-C,6-10,230.0,"June 22, 1964",Houston
97,97,J.J. Anderson,1983,1985,F,6-8,195.0,"September 23, 1960",Bradley
98,98,James Anderson,2011,2016,G-F,6-6,213.0,"March 25, 1989",Oklahoma State
99,99,Jerome Anderson,1976,1977,G,6-5,195.0,"October 9, 1953",West Virginia
100,100,Justin Anderson,2016,2022,G,6-6,230.0,"November 19, 1993",Virginia
101,101,Kenny Anderson,1992,2005,G,6-0,168.0,"October 9, 1970",Georgia Tech
102,102,Kim Anderson,1979,1979,F,6-7,200.0,"May 12, 1955",Missouri
103,103,Kyle Anderson,2015,2023,F-G,6-9,230.0,"September 20, 1993",UCLA
104,104,Michael Anderson,1989,1989,G,5-11,184.0,"March 23, 1966",Drexel
105,105,Nick Anderson,1990,2002,F-G,6-6,205.0,"January 20, 1968",Illinois
106,106,Richard Anderson,1983,1990,F-C,6-10,240.0,"November 19, 1960",UC Santa Barbara
107,107,Ron Anderson,1985,1994,F-G,6-7,215.0,"October 15, 1958",Fresno State
108,108,Ryan Anderson,2009,2020,F,6-9,240.0,"May 6, 1988",California
109,109,Shandon Anderson,1997,2006,F-G,6-6,208.0,"December 31, 1973",Georgia
110,110,Willie Anderson,1989,1997,G-F,6-7,190.0,"January 8, 1967",Georgia
111,111,Wally Anderzunas,1970,1970,C-F,6-7,220.0,"January 11, 1946",Creighton
112,112,Martynas Andriuškevičius,2006,2006,C,7-2,240.0,"March 12, 1986",
113,113,Don Anielak,1955,1955,F,6-7,190.0,"November 1, 1930",Missouri State
114,114,Ike Anigbogu,2018,2019,F-C,6-10,250.0,"October 17, 1998",UCLA
115,115,Michael Ansley,1990,1992,F,6-7,225.0,"February 8, 1967",Alabama
116,116,Chris Anstey,1998,2000,C,7-0,249.0,"January 1, 1975",
117,117,Giannis Antetokounmpo,2014,2023,F-G,7-0,242.0,"December 6, 1994",
118,118,Kostas Antetokounmpo,2019,2021,F,6-10,200.0,"November 20, 1997",Dayton
119,119,Thanasis Antetokounmpo,2016,2023,F,6-6,219.0,"July 18, 1992",
120,120,Carmelo Anthony,2004,2022,F,6-7,238.0,"May 29, 1984",Syracuse
121,121,Cole Anthony,2021,2023,G,6-2,185.0,"May 15, 2000",UNC
122,122,Greg Anthony,1992,2002,G,6-0,176.0,"November 15, 1967","University of Portland, UNLV"
123,123,Joel Anthony,2008,2017,C,6-9,245.0,"August 9, 1982",UNLV
124,124,Pero Antić,2014,2015,C-F,6-11,260.0,"July 29, 1982",
125,125,OG Anunoby,2018,2023,F,6-7,232.0,"July 17, 1997",Indiana
126,126,Keith Appling,2016,2016,G,6-1,185.0,"February 13, 1992",Michigan State
127,127,Rafael Araújo,2005,2007,C,6-11,280.0,"August 12, 1980",BYU
128,128,Stacey Arceneaux,1962,1962,F,6-4,210.0,"February 17, 1936",Iowa State
129,129,Robert Archibald,2003,2004,F,6-11,250.0,"March 29, 1980",Illinois
130,130,Tiny Archibald*,1971,1984,G,6-1,150.0,"September 2, 1948",Texas-El Paso
131,131,Ryan Arcidiacono,2018,2023,G,6-3,195.0,"March 26, 1994",Villanova
132,132,Jim Ard,1971,1978,F-C,6-8,215.0,"September 19, 1948",Cincinnati
133,133,Gilbert Arenas,2002,2012,G,6-4,191.0,"January 6, 1982",Arizona
134,134,Trevor Ariza,2005,2022,F,6-8,215.0,"June 30, 1985",UCLA
135,135,Paul Arizin*,1951,1962,F-G,6-4,190.0,"April 9, 1928",Villanova
136,136,Joe Arlauckas,1988,1988,F,6-9,230.0,"July 20, 1965",Niagara University
137,137,B.J. Armstrong,1990,2000,G,6-2,175.0,"September 9, 1967",Iowa
138,138,Bob Armstrong,1957,1957,C-F,6-8,220.0,"June 17, 1933",Michigan State
139,139,Brandon Armstrong,2002,2004,G,6-5,188.0,"June 16, 1980",Pepperdine
140,140,Curly Armstrong,1949,1951,G-F,5-11,170.0,"November 1, 1918",Indiana
141,141,Darrell Armstrong,1995,2008,G,6-0,170.0,"June 22, 1968",Fayetteville State University
142,142,Hilton Armstrong,2007,2014,F-C,6-11,235.0,"November 11, 1984",UConn
143,143,Tate Armstrong,1978,1979,G,6-3,175.0,"October 5, 1955",Duke
144,144,Jesse Arnelle,1956,1956,F,6-5,220.0,"December 30, 1933",Penn State
145,145,Jay Arnette,1964,1966,G,6-2,175.0,"December 19, 1938",Texas
146,146,Bob Arnzen,1970,1974,F,6-5,205.0,"November 3, 1947",Notre Dame
147,147,Carlos Arroyo,2002,2011,G,6-2,202.0,"July 30, 1979",Florida International University
148,148,Darrell Arthur,2009,2018,F,6-9,235.0,"March 25, 1988",Kansas
149,149,John Arthurs,1970,1970,G,6-4,185.0,"August 15, 1947",Tulane
150,150,Jamel Artis,2018,2018,G-F,6-7,213.0,"January 12, 1993",Pitt
151,151,Ömer Aşık,2011,2018,C,7-0,255.0,"July 4, 1986",
152,152,Vincent Askew,1988,1998,G-F,6-6,210.0,"February 28, 1966",Memphis
153,153,Keith Askins,1991,1999,G-F,6-7,197.0,"December 15, 1967",Alabama
154,154,Don Asmonga,1954,1954,G,6-2,185.0,"February 15, 1928",Alliance College
155,155,Dick Atha,1956,1958,G,6-2,190.0,"September 21, 1931",Indiana State University
156,156,Chucky Atkins,2000,2010,G,5-11,160.0,"August 14, 1974",South Florida
157,157,Al Attles*,1961,1971,G,6-0,175.0,"November 7, 1936",North Carolina A&T
158,158,Chet Aubuchon,1947,1947,G,5-10,137.0,"May 18, 1916",Michigan State
159,159,Stacey Augmon,1992,2006,F-G,6-8,205.0,"August 1, 1968",UNLV
160,160,D.J. Augustin,2009,2022,G,5-11,183.0,"November 10, 1987",Texas
161,161,James Augustine,2007,2008,F,6-10,235.0,"February 27, 1984",Illinois
162,162,Isaac Austin,1992,2002,C,6-10,255.0,"August 18, 1969",Arizona State
163,163,Johnny Austin,1967,1968,G,6-0,170.0,"August 31, 1944",Boston College
164,164,Ken Austin,1984,1984,F,6-9,205.0,"July 15, 1961",Rice University
165,165,Deni Avdija,2021,2023,G-F,6-9,210.0,"January 3, 2001",
166,166,Anthony Avent,1993,2000,F,6-9,235.0,"October 18, 1969",Seton Hall
167,167,Bird Averitt,1974,1978,G,6-1,170.0,"July 22, 1952",Pepperdine
168,168,William Avery,2000,2002,G,6-2,197.0,"August 8, 1979",Duke
169,169,Dennis Awtrey,1971,1982,C,6-10,235.0,"February 22, 1948",Santa Clara
170,170,Joel Ayayi,2022,2022,G,6-5,180.0,"March 5, 2000",Gonzaga
171,171,Gustavo Ayón,2012,2014,C,6-10,250.0,"April 1, 1985",
172,172,Jeff Ayres,2010,2016,F,6-9,240.0,"April 29, 1987",Arizona State
173,173,Deandre Ayton,2019,2023,C,6-11,250.0,"July 23, 1998",Arizona
174,174,Kelenna Azubuike,2007,2012,G,6-5,220.0,"December 16, 1983",Kentucky
175,175,Udoka Azubuike,2021,2023,C,6-10,280.0,"September 17, 1999",Kansas
176,0,Chris Babb,2014,2014,G,6-5,225.0,"February 14, 1990","Penn State, Iowa State"
177,1,Luke Babbitt,2011,2018,F,6-9,225.0,"June 20, 1989",Nevada
178,2,Miloš Babić,1991,1992,C-F,7-0,240.0,"November 23, 1968",Tennessee Technological University
179,3,Johnny Bach,1949,1949,F-G,6-2,180.0,"July 10, 1924",Fordham
180,4,Dwayne Bacon,2018,2021,G,6-6,221.0,"August 30, 1995",Florida State
181,5,Henry Bacon,1973,1973,G,6-3,205.0,"July 5, 1948",Louisville
182,6,Jim Baechtold,1953,1957,F-G,6-4,205.0,"December 9, 1927",Eastern Kentucky University
183,7,Dalibor Bagarić,2001,2003,C,7-1,255.0,"February 7, 1980",
184,8,John Bagley,1983,1994,G,6-0,185.0,"April 23, 1960",Boston College
185,9,Marvin Bagley III,2019,2023,F-C,6-11,235.0,"March 14, 1999",Duke
186,10,Carl Bailey,1982,1982,C,7-0,210.0,"April 23, 1958",Tuskegee University
187,11,Gus Bailey,1975,1980,G-F,6-5,185.0,"February 18, 1951",Texas-El Paso
188,12,James Bailey,1980,1988,F-C,6-9,220.0,"May 21, 1957",Rutgers University
189,13,Thurl Bailey,1984,1999,F-C,6-11,215.0,"April 7, 1961",NC State
190,14,Toby Bailey,1999,2000,G,6-6,213.0,"November 19, 1975",UCLA
191,15,Cameron Bairstow,2015,2016,F-C,6-9,250.0,"December 7, 1990",New Mexico
192,16,Jimmie Baker,1976,1976,F,6-9,220.0,"December 25, 1953","UNLV, Hawaii"
193,17,Mark Baker,1999,1999,G,6-1,175.0,"November 11, 1969",Ohio State
194,18,Maurice Baker,2005,2005,G,6-1,175.0,"July 28, 1979",Oklahoma State
195,19,Norm Baker,1947,1947,G,6-0,180.0,"February 17, 1923",
196,20,Ron Baker,2017,2019,G,6-4,220.0,"March 30, 1993",Wichita State
197,21,Vin Baker,1994,2006,F,6-11,232.0,"November 23, 1971",University of Hartford
198,22,Patrick Baldwin Jr.,2023,2023,G-F,6-9,220.0,"November 18, 2002",UW-Milwaukee
199,23,Wade Baldwin,2017,2019,G,6-4,200.0,"March 29, 1996",Vanderbilt
200,24,Renaldo Balkman,2007,2012,F,6-8,208.0,"July 14, 1984",South Carolina
201,25,Cedric Ball,1991,1991,F,6-8,210.0,"April 16, 1968",UNC Charlotte
202,26,LaMelo Ball,2021,2023,G,6-7,180.0,"August 22, 2001",
203,27,Lonzo Ball,2018,2022,G,6-6,190.0,"October 27, 1997",UCLA
204,28,Greg Ballard,1978,1989,F,6-7,215.0,"January 29, 1955",Oregon
205,29,Herschel Baltimore,1947,1947,F,6-4,195.0,"June 21, 1921",Penn State
206,30,Mo Bamba,2019,2023,C,7-0,231.0,"May 12, 1998",Texas
207,31,Paolo Banchero,2023,2023,F,6-10,250.0,"November 12, 2002",Duke
208,32,Desmond Bane,2021,2023,G,6-5,215.0,"June 25, 1998",TCU
209,33,Gene Banks,1982,1987,F-G,6-7,215.0,"May 15, 1959",Duke
210,34,Marcus Banks,2004,2011,G,6-2,200.0,"November 19, 1981",UNLV
211,35,Walker Banks,1971,1971,C,6-10,205.0,"August 26, 1947",Western Kentucky
212,36,Ken Bannister,1985,1991,F-C,6-9,235.0,"April 1, 1960","Indiana State University, Saint Augustine's College"
213,37,Mike Bantom,1974,1982,F-C,6-9,200.0,"December 3, 1951",Saint Joseph's
214,38,Dalano Banton,2022,2023,G-F,6-9,204.0,"November 7, 1999",Nebraska
215,39,Cat Barber,2022,2022,G,6-2,190.0,"July 25, 1994",NC State
216,40,John Barber,1957,1957,F,6-6,210.0,"June 27, 1927","California State University, Los Angeles"
217,41,Leandro Barbosa,2004,2017,G,6-3,194.0,"November 28, 1982",
218,42,Steve Bardo,1992,1996,G,6-5,190.0,"April 5, 1968",Illinois
219,43,J.J. Barea,2007,2020,G,5-10,180.0,"June 26, 1984",Northeastern University
220,44,Andrea Bargnani,2007,2016,F-C,7-0,245.0,"October 26, 1985",
221,45,Cliff Barker,1950,1952,G,6-2,185.0,"January 15, 1921",Kentucky
222,46,Tom Barker,1977,1979,C-F,6-11,225.0,"March 11, 1955",Hawaii
223,47,Charles Barkley*,1985,2000,F,6-6,252.0,"February 20, 1963",Auburn
224,48,Erick Barkley,2001,2002,G,6-1,177.0,"February 21, 1978",St. John's
225,49,Don Barksdale*,1952,1955,F-C,6-6,200.0,"March 31, 1923",UCLA
226,50,Dominick Barlow,2023,2023,F,6-9,221.0,"May 26, 2003",
227,51,Harrison Barnes,2013,2023,F,6-8,225.0,"May 30, 1992",UNC
228,52,Harry Barnes,1969,1969,F,6-3,205.0,"July 25, 1945",Northeastern University
229,53,Jim Barnes,1965,1971,C-F,6-8,210.0,"April 13, 1941",Texas-El Paso
230,54,Marvin Barnes,1975,1980,F-C,6-8,210.0,"July 27, 1952",Providence
231,55,Matt Barnes,2004,2017,F,6-7,226.0,"March 9, 1980",UCLA
232,56,Scottie Barnes,2022,2023,G-F,6-9,227.0,"August 1, 2001",Florida State
233,57,Dick Barnett,1960,1974,G-F,6-4,190.0,"October 2, 1936",Tennessee State
234,58,Jim Barnett,1967,1977,G-F,6-4,170.0,"July 7, 1944",Oregon
235,59,Nate Barnett,1976,1976,G,6-3,175.0,"January 29, 1953",University of Akron
236,60,John Barnhill,1963,1972,G,6-1,180.0,"March 20, 1938",Tennessee State
237,61,Norton Barnhill,1977,1977,G,6-4,205.0,"July 15, 1953",Washington State
238,62,Leo Barnhorst,1950,1954,F-G,6-4,190.0,"May 11, 1924",Notre Dame
239,63,John Barr,1947,1947,F,6-3,205.0,"August 18, 1918",Penn State
240,64,Mike Barr,1973,1977,G,6-3,180.0,"October 19, 1950",Duquesne
241,65,Moe Barr,1971,1971,G,6-4,195.0,"June 19, 1944",Duquesne
242,66,Andre Barrett,2005,2008,G,5-10,172.0,"February 21, 1982",Seton Hall
243,67,Ernie Barrett,1954,1956,G-F,6-3,180.0,"August 27, 1929",Kansas State
244,68,Mike Barrett,1970,1973,G,6-2,155.0,"September 5, 1943",West Virginia Tech
245,69,RJ Barrett,2020,2023,G-F,6-6,214.0,"June 14, 2000",Duke
246,70,Earl Barron,2006,2015,C,7-0,250.0,"August 14, 1981",Memphis
247,71,Dana Barros,1990,2004,G,5-11,163.0,"April 13, 1967",Boston College
248,72,Brent Barry,1996,2009,G,6-6,185.0,"December 31, 1971",Oregon State
249,73,Drew Barry,1998,2000,G,6-5,191.0,"February 17, 1973",Georgia Tech
250,74,Jon Barry,1993,2006,G,6-4,195.0,"July 25, 1969","University of the Pacific, Georgia Tech"
251,75,Rick Barry*,1966,1980,F,6-7,205.0,"March 28, 1944",Miami (FL)
252,76,Ed Bartels,1950,1951,F,6-5,195.0,"October 8, 1925",NC State
253,77,Vic Bartolome,1972,1972,C,7-0,230.0,"September 29, 1948",Oregon State
254,78,Will Barton,2013,2023,G,6-6,181.0,"January 6, 1991",Memphis
255,79,Eddie Basden,2006,2006,G,6-5,215.0,"February 15, 1983",UNC Charlotte
256,80,Jerry Baskerville,1976,1976,F,6-7,190.0,"November 10, 1951",Temple
257,81,Brandon Bass,2006,2017,F,6-8,250.0,"April 30, 1985",LSU
258,82,Paris Bass,2022,2022,F,6-8,200.0,"August 29, 1995",Detroit Mercy
259,83,Tim Bassett,1974,1980,F-C,6-8,225.0,"April 1, 1951","College of Southern Idaho, Georgia"
260,84,Charles Bassey,2022,2023,C,6-11,235.0,"October 28, 2000",Western Kentucky
261,85,Maceo Baston,2003,2009,F,6-9,215.0,"May 29, 1975",Michigan
262,86,Mengke Bateer,2002,2004,C,6-11,290.0,"November 20, 1975",
263,87,Billy Ray Bates,1980,1983,G,6-4,210.0,"May 31, 1956",Kentucky State University
264,88,Keita Bates-Diop,2019,2023,F,6-8,229.0,"January 23, 1996",Ohio State
265,89,Esteban Batista,2006,2007,F-C,6-10,270.0,"September 2, 1983",
266,90,Mike Batiste,2003,2003,F,6-8,225.0,"November 21, 1977",Arizona State
267,91,Tony Battie,1998,2012,C-F,6-11,230.0,"February 11, 1976",Texas Tech
268,92,Shane Battier,2002,2014,F,6-8,220.0,"September 9, 1978",Duke
269,93,John Battle,1986,1995,G,6-2,175.0,"November 9, 1962",Rutgers University
270,94,Kenny Battle,1990,1993,F,6-6,210.0,"October 10, 1964","Northern Illinois, Illinois"
271,95,Dave Batton,1983,1984,C,6-10,240.0,"March 26, 1956",Notre Dame
272,96,Lloyd Batts,1975,1975,G-F,6-4,185.0,"May 9, 1951",Cincinnati
273,97,Nicolas Batum,2009,2023,F-G,6-8,230.0,"December 14, 1988",
274,98,Johnny Baum,1970,1974,F,6-5,200.0,"June 17, 1946","Peirce College, Temple"
275,99,Frankie Baumholtz,1947,1947,G,5-10,170.0,"October 7, 1918",Ohio University
276,100,Lonny Baxter,2003,2006,F,6-8,260.0,"January 27, 1979",Maryland
277,101,Jerryd Bayless,2009,2019,G,6-3,200.0,"August 20, 1988",Arizona
278,102,Elgin Baylor*,1959,1972,F,6-5,225.0,"September 16, 1934","College of Idaho, Seattle University"
279,103,Howard Bayne,1968,1968,F,6-6,235.0,"July 28, 1942",Tennessee
280,104,Aron Baynes,2013,2021,C,6-10,260.0,"December 9, 1986",Washington State
281,105,Sergei Bazarevich,1995,1995,G,6-2,168.0,"March 16, 1965",
282,106,Kent Bazemore,2013,2022,G-F,6-4,195.0,"July 1, 1989",Old Dominion
283,107,Darius Bazley,2020,2023,F,6-8,208.0,"June 12, 2000",
284,108,Ed Beach,1951,1951,F,6-3,200.0,"January 25, 1929",West Virginia
285,109,Bradley Beal,2013,2023,G,6-4,207.0,"June 28, 1993",Florida
286,110,Al Beard,1968,1968,C,6-9,200.0,"April 27, 1942",Norfolk State
287,111,Butch Beard,1970,1979,G,6-3,185.0,"May 4, 1947",Louisville
288,112,Ralph Beard,1950,1951,G,5-10,175.0,"December 2, 1927",Kentucky
289,113,Charlie Beasley,1968,1971,G-F,6-5,190.0,"September 23, 1945",SMU
290,114,Jerome Beasley,2004,2004,F,6-10,237.0,"May 17, 1980","Midland College, University of North Dakota"
291,115,John Beasley,1968,1974,F-C,6-9,225.0,"February 5, 1944",Texas A&M
292,116,Malik Beasley,2017,2023,G,6-4,187.0,"November 26, 1996",Florida State
293,117,Michael Beasley,2009,2019,F,6-9,235.0,"January 9, 1989",Kansas State
294,118,Zelmo Beaty*,1963,1975,C,6-9,225.0,"October 25, 1939",Prairie View A&M University
295,119,Rodrigue Beaubois,2010,2013,G,6-0,170.0,"February 24, 1988",
296,120,MarJon Beauchamp,2023,2023,G,6-6,199.0,"October 12, 2000",Yakima Valley Community College
297,121,Byron Beck,1968,1977,C-F,6-9,225.0,"January 25, 1945","Columbia Basin College, Denver"
298,122,Corey Beck,1996,1999,G,6-1,190.0,"May 27, 1971","South Plains College, Arkansas"
299,123,Ernie Beck,1954,1961,G-F,6-4,190.0,"December 11, 1931",Penn
300,124,Art Becker,1968,1973,F,6-7,205.0,"January 12, 1942",Arizona State
301,125,Moe Becker,1947,1947,G-F,6-1,185.0,"February 24, 1917",Duquesne
302,126,Bob Bedell,1968,1971,F,6-7,205.0,"June 26, 1944",Stanford
303,127,William Bedford,1987,1993,C,7-0,225.0,"December 14, 1963",Memphis
304,128,Hank Beenders,1947,1949,C-F,6-6,185.0,"June 2, 1916",Long Island University
305,129,Ron Behagen,1974,1980,F-C,6-9,185.0,"January 14, 1951",Minnesota
306,130,Elmer Behnke,1952,1952,C,6-7,210.0,"February 3, 1929",Bradley
307,131,Marco Belinelli,2008,2020,G-F,6-5,220.0,"March 25, 1986",
308,132,Charlie Bell,2002,2011,G,6-3,200.0,"March 12, 1979",Michigan State
309,133,Dennis Bell,1974,1976,F,6-5,185.0,"June 2, 1951",Drake University
310,134,Jordan Bell,2018,2022,F,6-8,216.0,"January 7, 1995",Oregon
311,135,Raja Bell,2001,2012,G,6-5,204.0,"September 19, 1976","Boston University, Florida International University"
312,136,Troy Bell,2004,2004,G,6-1,180.0,"November 10, 1980",Boston College
313,137,Whitey Bell,1960,1961,G,6-0,180.0,"September 13, 1932",NC State
314,138,Walt Bellamy*,1962,1975,C,6-11,225.0,"July 24, 1939",Indiana
